Município,Distrito,Nome,2024
Mogadouro,Bragança,Feira dos Gorazes,ter. 15 outubro
Moimenta da Beira,Viseu,São João Baptista,seg. 24 junho
Moita,Setúbal,Festas em Honra de Nossa Senhora da Boa Viagem,ter. 10 setembro
Monção,Viana do Castelo,Outorgação do foral,ter. 12 março
Monchique,Faro,Quinta-feira da Ascensão,qui. 9 maio
Mondim de Basto,Vila Real,São Tiago,qui. 25 julho
Monforte,Portalegre,Segunda-feira de Pascoela (Nossa Senhora dos Prazeres),seg. 8 abril
Montalegre,Vila Real,Atribuição do foral,dom. 9 junho
Montemor-o-Novo,Évora,São João de Deus,sex. 8 março
Montemor-o-Velho,Coimbra,Nossa Senhora da Vitória,dom. 8 setembro
Montijo,Setúbal,São Pedro,sáb. 29 junho
Mora,Évora,Segunda-feira de Páscoa,seg. 1 abril
Mortágua,Viseu,Quinta-feira da Ascensão,qui. 9 maio
Moura,Beja,São João Baptista,seg. 24 junho
Mourão,Évora,Nossa Senhora das Candeias,sex. 2 fevereiro
Murça,Vila Real,Fundação do município,qua. 8 maio
Murtosa,Aveiro,Nossa Senhora da Natividade,dom. 8 setembro
Nazaré,Leiria,Nossa Senhora das Areias,dom. 8 setembro
Nelas,Viseu,São João Baptista,seg. 24 junho
Nisa,Portalegre,Nossa Senhora da Graça,seg. 1 abril
Nordeste,Açores,Fundação do município (1514),qui. 18 julho
Óbidos,Leiria,Tomada de Óbidos aos mouros,qui. 11 janeiro
Odemira,Beja,Nossa Senhora da Piedade,dom. 8 setembro
Odivelas,Lisboa,Criação do município,ter. 19 novembro
Oeiras,Lisboa,Criação do município,sex. 7 junho
Oleiros,Castelo Branco,Santa Margarida,seg. 12 agosto
Olhão,Faro,Revolta de Olhão contra os Franceses,dom. 16 junho
Oliveira de Azeméis,Aveiro,Nossa Senhora de La Salette,seg. 12 agosto
Oliveira de Frades,Viseu,Restauração do município,seg. 7 outubro
Oliveira do Bairro,Aveiro,Quinta-feira da Ascensão,qui. 9 maio
Oliveira do Hospital,Coimbra,Recebimento da notícia da Implantação da República,seg. 7 outubro
Ourém,Santarém,Elevação a cidade,qui. 20 junho
Ourique,Beja,Nossa Senhora da Cola,dom. 8 setembro
Ovar,Aveiro,São Cristóvão,qui. 25 julho
Paços de Ferreira,Porto,Criação do município,qua. 6 novembro
Palmela,Setúbal,Atribuição do foral manuelino,sáb. 1 junho
Pampilhosa da Serra,Coimbra,Restauração dos títulos de vila isenta,qua. 10 abril
Paredes de Coura,Viana do Castelo,São Lourenço,sáb. 10 agosto
Paredes,Porto,Divino Salvador,seg. 22 julho
Pedrógão Grande,Leiria,Criação do município,qua. 24 julho
Penacova,Coimbra,Nascimento de António José de Almeida,qua. 17 julho
Penafiel,Porto,São Martinho,seg. 11 novembro
Penalva do Castelo,Viseu,São Genésio,dom. 25 agosto
Penamacor,Castelo Branco,Segunda-feira de Páscoa,seg. 1 abril
Penedono,Viseu,São Pedro,sáb. 29 junho
Penela,Coimbra,São Miguel Arcanjo,dom. 29 setembro
Peniche,Leiria,Nossa Senhora da Boa Viagem,seg. 5 agosto
Peso da Régua,Vila Real,Nossa Senhora do Socorro,sex. 16 agosto
Pinhel,Guarda,Elevação a cidade,dom. 25 agosto
Pombal,Leiria,São Martinho,seg. 11 novembro
Ponta Delgada,Açores,Senhor Santo Cristo dos Milagres,seg. 6 maio
Ponta do Sol,Madeira,Nossa Senhora da Luz,dom. 8 setembro
Ponte da Barca,Viana do Castelo,São Bartolomeu,sáb. 24 agosto
Ponte de Lima,Viana do Castelo,Nossa Senhora das Dores,sex. 20 setembro
Ponte de Sor,Portalegre,Segunda-feira de Páscoa,seg. 1 abril
Portalegre,Portalegre,Elevação a cidade e fundação da diocese,qui. 23 maio
Portel,Évora,Segunda-feira de Páscoa,seg. 1 abril
Portimão,Faro,Elevação a cidade,qua. 11 dezembro
Porto de Mós,Leiria,São Pedro,sáb. 29 junho
Porto Moniz,Madeira,Santa Maria Madalena,seg. 22 julho
Porto Santo,Madeira,Criação do município,seg. 24 junho
Porto,Porto,São João Baptista,seg. 24 junho
Póvoa de Lanhoso,Braga,São José,ter. 19 março
Póvoa de Varzim,Porto,São Pedro,sáb. 29 junho
Povoação,Açores,Oitava do Corpo de Deus,sex. 31 maio
Praia da Vitória,Açores,Elevação a cidade,qui. 20 junho
Proença-a-Nova,Castelo Branco,Santo António,qui. 13 junho
Quarteira,Faro,Quinta-feira da Ascensão,qui. 9 maio
Redondo,Évora,Segunda-feira de Páscoa,seg. 1 abril
Reguengos de Monsaraz,Évora,Santo António,qui. 13 junho
Resende,Viseu,São Miguel Arcanjo,dom. 29 setembro
Ribeira Brava,Madeira,São Pedro,sáb. 29 junho
Ribeira de Pena,Vila Real,Nossa Senhora do Socorro,sex. 16 agosto
Ribeira Grande,Açores,São Pedro,sáb. 29 junho
Rio Maior,Santarém,Criação do município,qua. 6 novembro
Sabrosa,Vila Real,Nossa Senhora do Rosário,dom. 8 setembro
Sabugal,Guarda,Segunda-feira de Pascoela (Nossa Senhora dos Prazeres / Nossa Senhora da Graça),seg. 8 abril
